A
Brigitte Ntiamoah
Teresa Nzola Meso Ba
O
Reïna-Flor Okori
Gilbert Omnès
Marcel Orfidan
André Osterberger
Micheline Ostermeyer
Mohamed Ouaadi
Fatiha Ouali
Yamna Oubouhou
P
Brice Panel
Jack Pani
Nicole Pani
Raymond Pannier
Thierry Pantel
Hermann Panzo
Raoul Paoli
André Paris
Pierre Parrain
Robert Pascarel
David Patros
Robert Paul (athlete)
Louis Pauteix
Roger Pelé
Gaël Pencreach
Marie-José Pérec
Amélie Perrin
Jean-Pierre Perrinelle
Marguerite Perrou
Pierre-Alexis Pessonneaux
Raymond Petit (athlete)
Bernard Petitbois
Florence Pétry-Amiel
Dan Philibert
Marcel Philippe (athlete)
Louis Philipps
Angèle Picado
Arthur Picard
Florence Picaut
Daniel Pierre
Arsène Piesset
René Piller
Raphaël Piolanti
Claude Piquemal
Anne Piquereau
Yolande Plancke
Christian Plaziat
Paul Poaniéwa
Ronald Pognon
Robert Poirier
Marie Poissonnier
Alain Porthault
Charles Poulenard
Pauline Pousse
Maurice Pouzieux
Nadia Prasad
Pierre Prat
André Prébolin
Nadine Prévost
Jean-Louis Prianon
Vladimir Prikhodko
Étienne Proux
Raphaël Pujazon
Q
Gilles Quénéhervé
Frédérique Quentin
Yann Quentrec
Pierre Quinon
Henri Quintric
R
Marguerite Radideau
Gaston Ragueneau
Pierre Ramadier
Nicole Ramalalanirina
Jean-Louis Rapnouil
Marc Raquil
Lucien Rault
Corinne Raux
Maria Rebelo
Chantal Réga
Frantz Reichel
Gustave Remouet
Marvin René
Roger Rérolle
Manuel Reynaert
Antoine Richard
Eddy Riva
Mélina Robert-Michon
Roger Rochard
Hugues Roger
Georges Rolot
Emmanuel Romary
Edmond Roudnitska (athlete)
Brigitte Rougeron
Jacques Rousseau (athlete)
Simone Ruas
S
Abdullah Ben Saïd
Robert Saint-Pé
Georges Sainte-Rose
Lucien Sainte-Rose
Robert Sainte-Rose
Maurice Salomez
Roqui Sanchez
Daniel Sangouma
Alain Sans
Alain Sarteur
Marie-Noëlle Savigny
Francis Schewetta
Jean Schlegel
Jean-Pierre Schoebel
Pierre Schoebel
Robert Schurrer
Salim Sdiri
Louis Segondi
Gabriel Sempé
Annette Sergent
Joseph Servella
Ronald Servius
Jean-René Seurin
Abdoulaye Seye
Ismaïl Sghyr
Gilles Sibon
André Sicard
Odiah Sidibé
Thélia Sigère
Victor Sillon
Martial Simon
Nathalie Simon (athlete)
Pierre Skawinski
Melanie Skotnik
Luis Soares
René Soulier
Myriam Soumaré
Liliane Sprécher
Pierre Sprécher
Joseph Stéphan
Jean Strunc
Gérard Sturla
Emma Sulter
Léon Syrovatski
T
Bouabdellah Tahri
Karl Taillepierre
Patrick Tambwé
Henri Tauzin
Alexandra Tavernier
Guillaume Tell (athlete)
Sylviane Telliez
Nathalie Teppe
Guy Texereau
Henri Teyssedou
Pascal Théophile
Madeleine Thétu
Sébastien Thibault
Pascal Thiébaut
Raymond Thomas (athlete)
Jean Thureau
Noël Tijou
René Tirard
André Tison
Raymond Tissot
Émile Torchebœuf
Lucien Tostain
Jeanine Toulouse
Georges Touquet-Daunis
Cheikh Touré
Christian Tourret
Philippe Tourret
Thierry Toutain
François Tracanelli
Amédée Trichard
Yvette Trombetta
Jean-Charles Trouabal
Lolésio Tuita
U
Gérard Ugolini
V
Jean Vaillant (athlete)
Christian Valétudie
René Valmy
Maurice Vautier
Daniel Velasques
Lucienne Velu
Georges Verger
Jacques Vernier
Jean Vernier
Franck Verzy
Paulette Veste
Jimmy Vicaut
Roger Viel
René Vignaud
Roger Vigneron
Thierry Vigneron
Jean-Paul Villain
Jocelyne Villeton
Robert Vintousky
W
Ibrahima Wade
Jean Wadoux
Bruno Wavelet
Louis Wilhelme
Pierre William
Paul Winter (athlete)
René Wiriath
Joseph Wirtz
Y
Alexandre Yankoff
Mounir Yemmouni
Fatima Yvelain
Z
Pierre Zaïdin
Raymond Zembri
Mickaël-Méba Zeze
Pascal Zilliox
Vincent Zouaoui-Dandrieux
